cve_ent,cve_mun,productores,produccion_total,gm,imn,precio,Escenario_marginacion,Escenario_precio
20,244,89.0,16.835,Alto,0.821408886716285,12387.3,0.0,0.0
20,401,64.0,23.9066,Medio,0.841750417184302,12390.05,0.0,0.0
20,287,19.0,1.1185,Medio,0.838531938036512,12398.63,0.0,0.0
10,023,1429.0,897.4577,Alto,0.807207620872542,12400.0,0.0,0.0
20,317,63.0,8.0817,Alto,0.811959322944377,12400.0,0.0,0.0
07,030,450.0,437.7099,Alto,0.793659997514736,12402.269999999999,0.0,0.0
30,161,379.0,32.2106,Alto,0.812621839140737,12412.82,0.0,0.0
12,013,96.0,35.2657,Alto,0.780415608471918,12427.66,0.0,0.0
24,014,128.0,4.2459,Alto,0.792825652645635,12429.415,0.0,0.0
30,141,738.0,363.3759,Medio,0.840899813601043,12432.25,0.0,0.0
30,212,46.0,13.0332,Alto,0.781636010958149,12433.744999999999,0.0,0.0
30,055,121.0,24.0728,Alto,0.793138996979952,12449.265,0.0,0.0
30,093,120.0,7.3904,Bajo,0.857189572849945,12449.28,0.0,0.0
20,478,108.0,16.6163,Medio,0.829712908710823,12456.32,0.0,0.0
28,031,14.0,0.29,Medio,0.84286712556899,12484.02,0.0,0.0
20,172,31.0,6.865,Bajo,0.860796169299216,12492.5,0.0,0.0
07,019,2138.0,1037.4533,Bajo,0.860727477992228,12492.5,0.0,0.0
15,078,86.0,192.3095,Bajo,0.860684966372737,12492.5,0.0,0.0
12,019,192.0,39.3156,Muy alto,0.633743183683952,12500.0,570076.2000000001,0.0
15,015,346.0,86.0453,Bajo,0.869238873620337,12500.0,0.0,0.0
24,018,81.0,6.5467,Alto,0.791190623795544,12500.0,0.0,0.0
30,121,128.0,145.0026,Alto,0.790666897101655,12517.77,0.0,0.0
20,455,279.0,9.3857,Alto,0.781731324226548,12532.005000000001,0.0,0.0
20,521,41.0,0.05,Medio,0.831870402634867,12563.79,0.0,0.0
20,220,108.0,12.3571,Medio,0.828437342050851,12586.18,0.0,0.0
13,017,498.0,52.4596,Medio,0.837194914173248,12586.31,0.0,0.0
31,017,321.0,45.3928,Alto,0.781183670942271,12589.470000000001,0.0,0.0
20,285,3.0,0.2525,Alto,0.79403500282187,12590.314999999999,0.0,0.0
21,011,67.0,82.3882,Medio,0.832333694073131,12608.61,0.0,0.0
21,086,86.0,16.6923,Alto,0.783678146874962,12616.345000000001,0.0,0.0
21,165,17.0,8.02,Alto,0.780339168039641,12626.86,0.0,0.0
13,068,1252.0,291.0602,Alto,0.785747919430837,12636.28,0.0,0.0
