"","cve_ent","cve_mun","productores","superficie_total","produccion_total","produccion_prom"
"254","20","147",9,9.75,5.3,0.588888888888889
"255","20","150",3,2.75,0,0
"256","20","151",51,54.39,11.8196,0.231756862745098
"257","20","161",26,24.375,5.985,0.230192307692308
"258","20","176",153,224.185,28.7932,0.188190849673203
"259","20","177",55,50.748,9.21,0.167454545454545
"260","20","195",22,10.2908,1.3545,0.0615681818181818
"261","20","210",69,31.25,10.115,0.146594202898551
"262","20","215",59,107.93,125.2312,2.12256271186441
"263","20","217",18,12.125,1.955,0.108611111111111
"264","20","221",127,188.9514,47.7724,0.37616062992126
"265","20","224",78,249.7183,206.7037,2.65004743589744
"266","20","239",8,6.75,1.055,0.131875
"267","20","250",74,125.8296,114.3336,1.54504864864865
"268","20","256",20,41.13,10.002,0.5001
"269","20","258",3,1.575,0.899,0.299666666666667
"270","20","260",4,4.25,1.85,0.4625
"271","20","264",65,64.395,11.5268,0.177335384615385
"272","20","269",17,7.125,2.185,0.128529411764706
"273","20","270",89,92.425,18.8398,0.211683146067416
"274","20","283",51,102.25,0,0
"275","20","287",17,15.885,2.6,0.152941176470588
"276","20","297",56,33.2334,16.8023,0.300041071428571
"277","20","304",43,32.9296,9.5406,0.221874418604651
"278","20","311",13,18.5,1.82,0.14
"279","20","313",52,56.85,12.825,0.246634615384615
"280","20","317",15,11.54,3.205,0.213666666666667
"281","20","319",3,3.25,0.75,0.25
"282","20","321",85,63.0663,10.1705,0.119652941176471
"283","20","331",35,16.7874,4.6,0.131428571428571
"284","20","332",6,8.75,2.35,0.391666666666667
"285","20","339",20,36.61,2.44,0.122
"286","20","341",6,13.801,0.5,0.0833333333333333
"287","20","346",6,3.94,0.7439,0.123983333333333
"288","20","347",3,2.01,0.7,0.233333333333333
"289","20","359",14,7.3035,1.144,0.0817142857142857
"290","20","361",6,8.5,2.4,0.4
"291","20","370",15,23.7357,10.295,0.686333333333333
"292","20","373",3,3.5,0.52,0.173333333333333
"293","20","379",3,1.5,0.2,0.0666666666666667
"294","20","383",8,10.6983,5.909,0.738625
"295","20","395",136,187.8857,35.171,0.258610294117647
"296","20","397",47,41.988,18.436,0.392255319148936
"297","20","404",83,193.8107,135.4389,1.63179397590361
"298","20","408",5,5.25,1.79,0.358
"299","20","416",32,33.625,7.7294,0.24154375
"300","20","419",5,3.75,0.035,0.007
"301","20","422",31,28.95,0.68,0.0219354838709677
"302","20","423",9,7.56,0.9,0.1
"303","20","426",11,7.25,1.113,0.101181818181818
"304","20","431",5,6.35,4.0401,0.80802
"305","20","445",53,24.5241,3.9813,0.0751188679245283
"306","20","451",38,27.765,5.6472,0.148610526315789
"307","20","463",30,23.757,10.8785,0.362616666666667
"308","20","464",35,42.4084,17.6621,0.504631428571429
"309","20","478",22,18.1399,14.1047,0.641122727272727
"310","20","486",55,91.755,31.6977,0.576321818181818
"311","20","488",17,29.5,1.25,0.0735294117647059
"312","20","492",117,102.392,29.858,0.255196581196581
"313","20","493",47,166.9675,121.8957,2.59352553191489
"314","20","496",4,10,0.5,0.125
"315","20","499",11,11.975,1.515,0.137727272727273
"316","20","500",26,15.2,9.33,0.358846153846154
"317","20","510",8,6.8344,4.4084,0.55105
"318","20","511",13,6.4,1.307,0.100538461538462
"319","20","521",14,12.13,1.76,0.125714285714286
"320","20","523",64,144.0385,56.5482,0.883565625
